"Cenário","Gini","Bottom_50","Top_10","Top_1","Arrecadacao_BR","Dif_Arrecadacao_BR"
"Regime Atual",0.631541349452867,0.134503252747572,0.581077483811953,0.329185657478943,320.537487650636,0
"Nova Proposta",0.632004562985267,0.134103386778593,0.581911876177565,0.327234684212138,300.187045760079,-20.3504418905567
"Nova c/ Aliq. Máxima",0.632004562985267,0.134103386778593,0.581911876177565,0.327234684212138,361.581239059791,41.0437514091549
