"Cenário","Gini","Bottom_50","Top_10","Top_1","Arrecadacao_BR","Dif_Arrecadacao_BR"
"Regime Atual",0.61859356381559,0.140112757730775,0.549232060226494,0.247861913203233,334.695577885164,0
"Nova Proposta",0.616589942266059,0.140669675101525,0.546696126959072,0.242143491831632,360.634058397518,25.9384805123537
"Nova c/ Aliq. Máxima",0.615299433805364,0.141148139211293,0.545154290497785,0.239522808475387,382.58952315484,47.893945269676
"Nova c/ Aliq. Crescente",0.613471911464572,0.141820376452299,0.542988025844578,0.235900932254166,413.582774922738,78.8871970375736
"Proposta - Tabata",0.611781905906755,0.14243543348955,0.541006022709037,0.232630485668422,441.533343640852,106.837765755687
